,Age,Occupation,Race,Sex,HoursPerWeek,EducationNum
71,31, Sales, Black, Female,40,13
72,29, Sales, White, Male,70,13
73,23, Machine-op-inspct, White, Male,40,10
74,79, Prof-specialty, White, Male,20,10
75,27, Other-service, White, Male,40,9
76,40, Adm-clerical, White, Male,40,12
77,67, ?, White, Male,2,6
78,18, Other-service, White, Female,22,7
79,31, Farming-fishing, White, Male,40,4
80,18, Sales, White, Male,30,9
81,52, Other-service, White, Male,40,13
82,46, Other-service, White, Female,40,9
83,59, Sales, White, Male,48,9
84,44, Craft-repair, White, Female,40,9
85,53, Sales, White, Female,35,9
86,49, Protective-serv, White, Male,40,9
87,33, Prof-specialty, White, Male,50,14
88,30, Sales, White, Male,40,5
89,43, Prof-specialty, White, Female,50,16
90,57, Prof-specialty, White, Male,40,11
91,37, Craft-repair, White, Female,40,10
92,28, Machine-op-inspct, Black, Female,25,10
93,30, Sales, Asian-Pac-Islander, Female,35,9
94,34, Protective-serv, White, Male,40,13
95,29, Handlers-cleaners, White, Male,50,10
96,48, Prof-specialty, White, Male,60,16
97,37, Sales, White, Male,48,10
98,48, Exec-managerial, White, Female,40,12
99,32, Other-service, Black, Male,40,9
100,76, Exec-managerial, White, Male,40,14
101,44, Exec-managerial, White, Male,60,13
102,47, Prof-specialty, White, Female,50,14
103,20, Tech-support, White, Female,40,10
104,29, Craft-repair, White, Male,40,9
105,32, Craft-repair, White, Male,40,9
106,17, ?, White, Female,32,6
107,30, Handlers-cleaners, White, Male,40,7
108,31, Adm-clerical, White, Female,40,9
109,42, Handlers-cleaners, White, Male,40,9
110,24, Sales, White, Male,40,13
111,38, Prof-specialty, White, Male,40,15
112,56, Other-service, White, Male,50,9
113,28, Sales, White, Female,25,10
114,36, Machine-op-inspct, White, Female,40,9
115,53, Handlers-cleaners, White, Male,50,5
116,56, Sales, White, Male,50,10
117,49, Craft-repair, Black, Male,40,11
118,55, Sales, White, Male,56,10
119,22, Craft-repair, White, Male,41,9
120,21, Other-service, White, Female,40,10
121,40, Exec-managerial, White, Male,60,13
122,30, Exec-managerial, Black, Male,40,13
123,29, Prof-specialty, White, Male,50,13
124,19, Other-service, Black, Male,35,10
125,47, Exec-managerial, White, Female,40,13
126,20, Adm-clerical, White, Female,28,10
127,31, Adm-clerical, White, Male,40,12
128,35, ?, White, Male,40,9
129,39, Craft-repair, White, Male,40,10
130,28, Sales, White, Female,60,12
131,24, Other-service, White, Female,40,9
132,38, Craft-repair, White, Male,35,9
133,37, Sales, White, Male,50,13
134,46, Tech-support, Black, Female,36,12
135,38, Prof-specialty, White, Male,40,14
136,43, Craft-repair, White, Male,60,9
137,27, Adm-clerical, White, Female,35,11
138,20, Sales, White, Male,20,10
139,49, Craft-repair, Asian-Pac-Islander, Male,40,10
140,61, Craft-repair, White, Male,40,9
141,27, Sales, White, Female,40,10
142,19, Other-service, White, Male,30,10
143,45, Prof-specialty, White, Female,40,11
144,70, Tech-support, White, Male,40,10
145,31, Transport-moving, Black, Female,30,9
146,22, Other-service, White, Male,24,10
147,36, Other-service, White, Female,24,9
148,64, Craft-repair, White, Male,40,7
149,43, ?, White, Female,40,10
150,47, Adm-clerical, White, Female,38,10
151,34, Adm-clerical, White, Female,40,9
152,33, Exec-managerial, Asian-Pac-Islander, Female,40,13
153,21, Craft-repair, White, Male,35,9
154,52, ?, White, Male,45,9
155,48, Craft-repair, White, Male,46,9
156,23, Handlers-cleaners, White, Male,40,13
157,71, Sales, Black, Male,2,10
158,29, Craft-repair, White, Male,60,9
159,42, Other-service, Black, Male,50,13
160,68, ?, White, Female,20,2
161,25, Other-service, White, Female,40,9
162,44, Exec-managerial, Asian-Pac-Islander, Female,40,14
163,28, Exec-managerial, Asian-Pac-Islander, Female,40,9
164,45, Sales, White, Male,40,14
165,36, Other-service, White, Female,40,10
166,39, Exec-managerial, White, Male,42,12
167,46, Protective-serv, White, Male,40,14
168,18, Handlers-cleaners, White, Male,16,7
169,66, Prof-specialty, White, Female,20,11
170,27, Other-service, White, Male,40,9
171,28, Protective-serv, White, Male,40,9
172,51, Sales, White, Male,40,10
173,27, Craft-repair, White, Male,50,13
174,28, Prof-specialty, White, Male,40,13
175,27, Sales, White, Female,25,9
176,21, Craft-repair, Black, Male,40,9
177,34, Handlers-cleaners, Black, Male,40,9
178,18, Other-service, White, Male,12,9
179,33, Prof-specialty, White, Male,65,13
180,44, Exec-managerial, Black, Male,38,10
181,43, Adm-clerical, White, Female,40,10
182,30, Craft-repair, Black, Male,45,10
183,40, Machine-op-inspct, White, Male,40,4
184,37, Adm-clerical, White, Male,42,10
185,34, Adm-clerical, Black, Male,40,9
186,41, Exec-managerial, White, Female,40,13
187,53, ?, White, Female,50,13
188,31, Prof-specialty, White, Female,50,14
189,58, Prof-specialty, White, Male,1,16
190,38, Machine-op-inspct, Black, Female,28,10
191,24, Machine-op-inspct, White, Male,40,10
192,41, Craft-repair, Black, Male,40,13
193,47, Tech-support, White, Male,45,10
194,41, Tech-support, White, Male,24,13
195,23, Transport-moving, White, Male,40,3
196,36, Craft-repair, White, Male,40,10
197,40, Exec-managerial, White, Female,55,14
198,35, Prof-specialty, White, Male,40,14
199,24, Sales, White, Male,40,9
200,26, Prof-specialty, White, Female,40,14
201,19, ?, White, Male,40,9
202,51, Exec-managerial, White, Male,50,13
203,42, Prof-specialty, White, Female,40,10
204,37, Adm-clerical, White, Female,35,9
205,18, Sales, White, Female,40,7
206,36, Other-service, Black, Male,36,13
207,35, Craft-repair, White, Male,60,9
208,58, Sales, White, Female,35,9
209,17, Sales, White, Female,12,7
210,44, Transport-moving, Black, Male,40,9
211,37, Craft-repair, White, Male,40,9
212,35, Sales, Amer-Indian-Eskimo, Female,40,10
213,60, Craft-repair, Asian-Pac-Islander, Male,40,9
214,54, Machine-op-inspct, White, Male,40,4
215,37, Exec-managerial, Black, Male,60,13
216,50, Sales, White, Female,40,12
217,38, Sales, White, Male,50,13
218,45, Prof-specialty, White, Male,55,13
219,25, Craft-repair, White, Male,40,6
220,31, Handlers-cleaners, White, Male,40,10
221,64, ?, White, Male,40,2
222,90, Other-service, Black, Male,40,9
223,54, Adm-clerical, Black, Male,20,9
224,53, Machine-op-inspct, White, Female,35,1
225,18, Sales, White, Female,40,9
226,60, ?, Amer-Indian-Eskimo, Female,10,6
227,66, Farming-fishing, White, Male,50,9
228,75, Adm-clerical, White, Female,20,11
229,65, Adm-clerical, White, Female,40,9
230,35, Transport-moving, Black, Male,40,7
231,41, Sales, Black, Female,38,9
232,25, Adm-clerical, White, Male,42,10
233,33, Craft-repair, Other, Female,40,10
234,28, Prof-specialty, White, Male,55,15
235,59, Other-service, White, Male,40,9
236,40, Adm-clerical, White, Female,38,10
237,41, Exec-managerial, White, Male,50,13
238,38, Exec-managerial, White, Male,70,14
239,23, Transport-moving, White, Male,40,9
240,40, Prof-specialty, White, Male,40,13
241,41, Other-service, White, Female,20,9
242,24, Protective-serv, White, Male,50,12
243,20, ?, White, Male,20,10
244,38, Craft-repair, White, Male,40,10
245,56, Adm-clerical, White, Male,35,9
246,58, Adm-clerical, White, Male,45,9
247,32, Other-service, White, Female,34,9
248,40, Tech-support, White, Male,60,12
249,45, Adm-clerical, White, Male,40,9
250,41, Prof-specialty, White, Female,40,15
251,42, Adm-clerical, Black, Female,40,13
252,59, Other-service, Black, Female,30,6
253,19, Adm-clerical, White, Male,40,10
254,58, Transport-moving, White, Male,20,10
255,42, Farming-fishing, Asian-Pac-Islander, Male,40,9
256,20, Other-service, White, Female,40,9
257,32, Other-service, White, Female,30,9
258,45, Exec-managerial, White, Female,45,11
259,50, Craft-repair, White, Male,40,4
260,36, Prof-specialty, White, Female,40,13
261,45, Sales, White, Male,60,9
262,17, Other-service, White, Male,12,7
263,59, Sales, White, Male,40,10
264,26, Craft-repair, White, Male,40,7
265,37, Exec-managerial, Asian-Pac-Islander, Male,75,10
266,19, ?, White, Male,24,10
267,64, Exec-managerial, White, Male,40,9
268,33, Prof-specialty, White, Female,45,13
269,33, Craft-repair, White, Female,40,9
270,61, Exec-managerial, White, Male,40,9
271,17, Other-service, White, Male,24,5
272,50, Farming-fishing, White, Male,98,14
273,27, Prof-specialty, White, Male,35,14
274,30, Prof-specialty, White, Female,40,9
275,43, Handlers-cleaners, Black, Male,40,9
276,44, Craft-repair, White, Male,40,10
277,35, Exec-managerial, White, Female,40,10
278,25, Tech-support, White, Female,40,10
279,24, Machine-op-inspct, White, Female,48,10
280,22, Prof-specialty, White, Female,15,13
281,42, Craft-repair, White, Male,40,10
282,34, Sales, Black, Female,45,12
283,60, Prof-specialty, White, Female,42,13
284,21, Handlers-cleaners, White, Male,40,9
285,57, Sales, White, Male,40,14
286,41, Prof-specialty, White, Male,60,15
287,50, Other-service, White, Male,45,10
288,25, Exec-managerial, White, Female,40,13
289,50, Craft-repair, White, Male,40,4
290,36, Prof-specialty, White, Male,45,13
291,31, Prof-specialty, White, Female,40,9
292,29, Protective-serv, White, Male,56,13
293,21, Sales, White, Male,45,10
294,27, Tech-support, Black, Female,40,13
295,65, Transport-moving, White, Male,16,9
296,37, Sales, White, Female,60,13
297,39, ?, Asian-Pac-Islander, Female,40,14
298,24, Craft-repair, White, Male,40,9
299,38, Sales, White, Male,80,9
300,48, Adm-clerical, White, Male,40,13
301,21, Other-service, Asian-Pac-Islander, Female,25,10
302,31, Transport-moving, White, Male,45,9
303,55, Sales, White, Male,40,9
304,24, Adm-clerical, Asian-Pac-Islander, Female,40,10
305,43, Adm-clerical, White, Female,40,9
306,26, Tech-support, White, Male,45,12
307,46, Prof-specialty, White, Female,33,12
308,35, Adm-clerical, White, Male,40,12
309,41, Farming-fishing, White, Male,54,10
310,26, Sales, White, Male,40,13
311,34, Exec-managerial, Asian-Pac-Islander, Male,35,14
312,19, ?, Black, Female,25,10
313,36, Prof-specialty, Black, Female,40,13
314,22, Sales, White, Male,15,10
315,24, Machine-op-inspct, White, Male,40,10
316,77, Sales, White, Male,40,10
317,22, Machine-op-inspct, White, Female,40,3
318,29, Tech-support, White, Female,40,10
319,62, Other-service, White, Female,24,9
320,39, Exec-managerial, White, Male,40,9
321,43, Craft-repair, White, Male,50,10
322,35, Transport-moving, White, Male,45,9
323,29, Exec-managerial, White, Female,40,7
324,76, Craft-repair, White, Male,10,14
325,63, Farming-fishing, White, Male,45,9
326,23, ?, Black, Female,15,11
327,43, Prof-specialty, White, Female,50,10
328,58, Handlers-cleaners, White, Male,40,9
329,66, Transport-moving, White, Male,55,9
330,41, Craft-repair, Black, Male,45,10
331,26, Adm-clerical, White, Male,40,13
332,47, Other-service, White, Male,40,11
333,55, Adm-clerical, White, Male,40,6
334,53, Transport-moving, White, Male,40,9
335,17, Other-service, White, Male,48,3
336,30, Craft-repair, White, Male,40,9
337,49, Prof-specialty, White, Male,60,14
338,19, Sales, Black, Male,30,9
339,45, Other-service, Black, Male,40,9
340,26, Sales, White, Male,40,12
341,38, Craft-repair, White, Male,40,11
342,36, Protective-serv, White, Male,40,9
343,33, Farming-fishing, White, Male,20,9
344,22, Protective-serv, Black, Female,40,10
345,43, Sales, White, Male,42,13
346,67, ?, White, Male,8,7
347,30, ?, White, Female,40,11
348,56, Other-service, White, Male,25,12
349,31, Prof-specialty, White, Male,25,13
350,33, Exec-managerial, White, Male,40,13
351,26, Other-service, White, Male,40,9
352,33, Exec-managerial, White, Male,40,13
353,46, Transport-moving, White, Male,30,7
354,59, ?, White, Male,40,13
355,38, Adm-clerical, White, Male,40,9
356,65, Other-service, Other, Male,40,7
357,40, Tech-support, White, Male,40,11
358,42, Adm-clerical, White, Female,35,9
359,26, Craft-repair, White, Male,40,5
360,36, Other-service, White, Female,24,6
361,62, Prof-specialty, White, Male,40,14
362,43, Transport-moving, White, Male,45,13
363,43, Exec-managerial, White, Male,45,13
364,22, Sales, White, Male,55,9
365,28, Craft-repair, White, Male,40,9
366,56, Sales, White, Male,45,10
367,22, Sales, White, Female,15,12
368,57, Exec-managerial, White, Female,45,13
369,39, Sales, White, Female,40,9
370,26, Adm-clerical, White, Female,15,10
371,17, Other-service, White, Male,10,7
372,40, Machine-op-inspct, White, Male,38,11
373,45, Machine-op-inspct, Black, Male,40,9
374,44, Craft-repair, Black, Male,40,9
375,20, Adm-clerical, White, Female,10,10
376,33, Craft-repair, White, Female,40,9
377,23, Sales, White, Male,40,10
378,46, Exec-managerial, White, Male,30,14
379,38, Sales, White, Male,50,9
380,54, Transport-moving, White, Male,40,9
381,46, Craft-repair, White, Female,45,3
382,25, Craft-repair, White, Male,40,10
383,46, Sales, White, Female,40,10
384,36, Transport-moving, White, Female,40,10
385,23, Other-service, White, Female,25,9
386,29, Machine-op-inspct, White, Male,40,9
387,44, Adm-clerical, White, Female,6,10
388,19, Adm-clerical, White, Female,16,10
389,19, Other-service, White, Female,40,9
390,35, Other-service, White, Female,40,9
391,27, Craft-repair, White, Male,50,13
392,46, Craft-repair, White, Male,40,12
393,34, Exec-managerial, White, Male,45,13
394,34, Other-service, White, Female,35,9
395,44, Tech-support, White, Male,40,10
396,45, Handlers-cleaners, White, Female,40,10
397,20, ?, White, Female,35,9
398,25, Exec-managerial, White, Male,55,13
399,52, Exec-managerial, White, Male,50,13
400,20, Handlers-cleaners, White, Male,40,10
401,28, Other-service, White, Female,40,10
402,50, Protective-serv, White, Male,40,13
403,34, Tech-support, White, Female,64,11
404,28, Handlers-cleaners, Other, Male,40,4
405,41, Exec-managerial, White, Male,65,14
406,28, Adm-clerical, White, Male,40,9
407,46, Craft-repair, White, Male,25,9
408,28, ?, White, Female,40,10
409,32, Exec-managerial, White, Male,50,10
410,41, Other-service, Black, Female,24,10
411,24, Handlers-cleaners, Black, Female,40,9
412,33, Exec-managerial, White, Female,40,10
413,46, Exec-managerial, White, Male,60,16
414,31, Machine-op-inspct, White, Male,40,10
415,35, Craft-repair, White, Male,50,8
416,52, Machine-op-inspct, White, Male,40,2
417,30, Other-service, White, Female,19,7
418,34, Machine-op-inspct, Black, Male,40,7
419,34, Transport-moving, White, Female,40,9
420,20, Sales, White, Male,30,10
421,17, Handlers-cleaners, White, Male,18,7
422,32, Exec-managerial, White, Female,40,13
423,29, Farming-fishing, White, Male,40,9
424,33, Craft-repair, White, Female,35,6
425,25, Transport-moving, White, Male,60,9
426,36, Prof-specialty, White, Male,40,14
427,23, Handlers-cleaners, White, Male,72,9
428,63, Exec-managerial, White, Male,40,9
429,47, Prof-specialty, White, Male,40,14
430,80, ?, White, Male,24,9
431,17, ?, White, Male,40,7
432,40, Prof-specialty, White, Female,40,13
433,30, Other-service, White, Female,25,12
434,27, Craft-repair, Asian-Pac-Islander, Male,40,10
435,33, Prof-specialty, White, Male,50,14
436,34, Farming-fishing, Black, Male,60,9
437,34, Protective-serv, White, Female,40,10
438,23, Adm-clerical, White, Male,40,10
439,42, Adm-clerical, White, Female,40,10
440,29, Prof-specialty, White, Male,40,13
441,45, Adm-clerical, White, Female,28,9
442,24, Armed-Forces, White, Male,40,9
443,44, Prof-specialty, White, Male,40,10
444,27, Craft-repair, White, Male,40,5
445,20, Sales, White, Male,35,10
446,44, Exec-managerial, Black, Female,40,9
447,51, Craft-repair, Amer-Indian-Eskimo, Male,40,9
448,20, Machine-op-inspct, White, Male,40,9
449,17, ?, White, Female,5,7
450,19, Machine-op-inspct, Black, Female,40,9
451,45, Craft-repair, White, Male,55,10
452,60, Craft-repair, White, Male,40,9
453,42, Exec-managerial, Black, Male,40,12
454,44, Sales, White, Female,40,9
455,40, Machine-op-inspct, Asian-Pac-Islander, Male,40,11
456,30, Exec-managerial, White, Female,40,9
457,38, Transport-moving, Black, Male,50,10
458,23, Transport-moving, White, Male,60,9
459,32, ?, White, Male,40,10
460,44, Farming-fishing, White, Male,40,12
461,54, Transport-moving, Black, Male,40,9
462,32, Prof-specialty, White, Male,50,13
463,50, Craft-repair, White, Male,40,2
464,24, Tech-support, White, Female,20,13
465,37, Adm-clerical, White, Female,60,9
466,52, Transport-moving, White, Male,40,9
467,38, Transport-moving, White, Male,40,10
468,49, Exec-managerial, White, Male,45,14
469,30, Tech-support, White, Female,16,13
470,60, Prof-specialty, White, Male,40,10
471,22, ?, White, Male,40,10
472,35, Craft-repair, White, Male,40,9
473,30, Transport-moving, White, Male,60,9
474,67, Other-service, White, Female,24,11
475,46, Craft-repair, White, Female,40,13
476,17, Other-service, White, Male,6,5
477,22, Handlers-cleaners, White, Male,30,10
478,27, Other-service, White, Male,40,6
479,23, Other-service, White, Female,35,9
480,33, Craft-repair, White, Male,45,12
481,43, Craft-repair, White, Male,20,10
482,28, Prof-specialty, White, Male,20,13
483,41, Craft-repair, White, Female,40,9
484,52, ?, Black, Male,40,8
485,25, Adm-clerical, Black, Female,20,10
486,63, ?, White, Male,35,2
487,59, Transport-moving, White, Male,45,9
488,45, Prof-specialty, White, Female,40,13
489,38, Sales, White, Male,60,13
490,40, Other-service, White, Female,35,9
491,46, Adm-clerical, White, Male,40,9
492,35, Exec-managerial, White, Female,60,12
493,34, Prof-specialty, White, Female,25,9
494,33, Craft-repair, White, Male,20,13
495,41, Adm-clerical, White, Female,36,9
496,20, Machine-op-inspct, White, Male,40,10
497,23, Other-service, White, Male,40,3
498,26, Prof-specialty, White, Female,35,10
499,72, ?, White, Male,20,9
500,23, Farming-fishing, White, Male,40,9
501,62, Transport-moving, White, Male,40,9
502,52, Adm-clerical, White, Male,40,10
503,58, Other-service, White, Female,42,10
504,25, Sales, White, Female,40,13
505,24, Exec-managerial, Black, Male,40,13
506,19, Protective-serv, White, Male,8,10
507,43, Exec-managerial, White, Male,40,10
508,47, Adm-clerical, Black, Female,40,9
509,39, Other-service, White, Female,40,9
510,49, Handlers-cleaners, White, Male,42,11
511,53, ?, Black, Female,30,3
512,32, Craft-repair, White, Male,45,11
513,34, Prof-specialty, White, Male,50,10
514,28, Craft-repair, White, Male,45,9
515,57, ?, White, Female,38,11
516,25, Adm-clerical, Amer-Indian-Eskimo, Female,20,10
517,20, ?, White, Male,24,10
518,21, ?, White, Female,35,10
519,34, Prof-specialty, White, Male,50,13
520,38, Exec-managerial, White, Male,80,13
521,50, Exec-managerial, White, Male,50,9
522,24, Handlers-cleaners, Black, Male,50,10
523,37, Tech-support, White, Male,45,10
524,44, Machine-op-inspct, White, Male,58,10
525,28, Sales, White, Female,40,10
526,42, Exec-managerial, White, Male,40,13
527,74, Adm-clerical, White, Female,9,10
528,38, Craft-repair, White, Male,50,9
529,44, Prof-specialty, White, Male,40,14
530,44, Machine-op-inspct, Other, Female,46,7
531,26, Machine-op-inspct, White, Male,40,9
532,36, Other-service, Black, Male,40,9
533,41, Exec-managerial, White, Female,50,12
534,67, Prof-specialty, White, Male,48,15
535,39, Tech-support, White, Male,50,8
536,57, Priv-house-serv, Black, Female,30,2
537,29, Craft-repair, White, Male,40,11
538,31, Farming-fishing, White, Female,45,13
539,34, ?, Black, Female,40,9
540,44, Transport-moving, White, Male,40,10
541,29, Prof-specialty, White, Male,40,16
542,30, Handlers-cleaners, White, Female,40,10
543,27, Transport-moving, White, Male,40,9
544,27, Sales, White, Male,50,10
545,32, Handlers-cleaners, White, Female,45,9
546,58, Other-service, White, Female,8,6
547,35, Protective-serv, White, Male,40,10
548,21, Handlers-cleaners, White, Male,36,9
549,28, Craft-repair, White, Male,40,10
550,46, Exec-managerial, White, Male,50,10
551,36, Other-service, White, Female,40,9
552,72, Adm-clerical, White, Female,40,7
553,35, Machine-op-inspct, Black, Female,40,9
554,33, Craft-repair, Black, Female,40,11
555,69, Machine-op-inspct, White, Female,40,7
556,35, Machine-op-inspct, White, Male,40,9
557,31, Adm-clerical, White, Female,20,9
558,34, Tech-support, White, Female,32,9
559,30, Other-service, White, Male,40,7
